0.866637,0.263145,0.131408,0.041593,4.953526
0.238924,0.645475,0.790599,0.601442,9.307441
0.334299,0.119428,0.309133,0.109724,4.939451
0.602113,0.251285,0.299681,0.517116,7.072191
0.715203,0.931449,0.102088,0.706524,8.710461
0.985842,0.559079,0.592019,0.741931,9.847781
0.821281,0.125672,0.907613,0.573170,9.088145
0.731224,0.301214,0.066628,0.163070,5.185818
0.133776,0.655933,0.423496,0.984726,9.655033
0.403502,0.254993,0.216473,0.843860,7.938348
0.690828,0.202888,0.707304,0.838363,9.571966
0.745540,0.749416,0.224917,0.241612,6.885573
0.877646,0.870233,0.610994,0.206366,8.276559
0.208230,0.436293,0.567814,0.755207,8.805089
0.517659,0.686756,0.255008,0.933435,9.389936
0.821264,0.201525,0.173784,0.924898,8.445257
0.785370,0.532320,0.070259,0.633602,7.595196
0.188563,0.449948,0.815493,0.180242,7.255906
0.879374,0.719883,0.886328,0.531565,10.104381
0.758573,0.770086,0.508468,0.529259,8.941184
0.613474,0.305844,0.562351,0.499933,7.911947
0.649923,0.073815,0.136063,0.163283,4.858875
0.196761,0.419023,0.993004,0.322223,8.302713
0.190819,0.886712,0.493592,0.851881,9.852541
0.981641,0.862166,0.869981,0.601625,10.722412
0.284393,0.754942,0.803977,0.237291,8.155374
0.190102,0.986515,0.371985,0.418790,7.954249
0.919910,0.814372,0.839470,0.036693,8.213835
0.917594,0.066074,0.630833,0.375460,7.444081
0.362687,0.041700,0.613526,0.344049,6.662860
0.997619,0.642501,0.435427,0.562210,8.837739
0.283715,0.674769,0.800714,0.853056,10.447622
0.959457,0.796509,0.176808,0.651008,8.686932
0.653367,0.636509,0.153812,0.337976,6.739724
0.833748,0.677815,0.938196,0.047832,8.195295
0.128967,0.369306,0.960758,0.346017,8.133923
0.988675,0.681920,0.010464,0.571693,7.670681
0.117069,0.674362,0.466345,0.915239,9.525781
0.618756,0.574859,0.388079,0.319606,7.211133
0.943487,0.472039,0.392879,0.174794,6.765382
0.420660,0.770771,0.562087,0.085915,6.992124
0.587570,0.948771,0.227434,0.822302,9.456619
0.691087,0.832659,0.938931,0.320010,9.453237
0.271517,0.851405,0.854293,0.400793,9.140375
0.307567,0.484365,0.937806,0.267597,8.160106
0.645784,0.459329,0.729844,0.657399,9.383571
0.860385,0.378076,0.917062,0.861011,10.811766
0.936937,0.525745,0.627287,0.331521,8.196371
0.050219,0.715534,0.197345,0.271210,6.158161
0.901220,0.731149,0.591500,0.004543,7.156191
0.222635,0.438601,0.160467,0.065261,4.842281
0.783599,0.823462,0.571495,0.049761,7.344051
0.526097,0.115503,0.235019,0.012842,4.513526
0.106382,0.544305,0.890225,0.891632,10.432194
0.455865,0.617509,0.743682,0.261250,7.966932
0.396682,0.900975,0.605109,0.302124,8.222453
0.090723,0.765689,0.149520,0.144992,5.650630
0.664124,0.037786,0.996901,0.464268,8.587473
0.780794,0.802233,0.607967,0.656623,9.835655
0.091769,0.813973,0.527335,0.125856,6.805144
0.411637,0.368477,0.728406,0.528788,8.448958
0.500196,0.474241,0.319361,0.520929,7.490479
