0.866637,0.263145,4.953526
0.238924,0.645475,9.307441
0.334299,0.119428,4.939451
0.602113,0.251285,7.072191
0.715203,0.931449,8.710461
0.985842,0.559079,9.847781
0.821281,0.125672,9.088145
0.731224,0.301214,5.185818
0.133776,0.655933,9.655033
0.403502,0.254993,7.938348
0.690828,0.202888,9.571966
0.745540,0.749416,6.885573
0.877646,0.870233,8.276559
0.208230,0.436293,8.805089
0.517659,0.686756,9.389936
0.821264,0.201525,8.445257
0.785370,0.532320,7.595196
0.188563,0.449948,7.255906
0.879374,0.719883,10.104381
0.758573,0.770086,8.941184
0.613474,0.305844,7.911947
0.649923,0.073815,4.858875
0.196761,0.419023,8.302713
0.190819,0.886712,9.852541
0.981641,0.862166,10.722412
0.284393,0.754942,8.155374
0.190102,0.986515,7.954249
0.919910,0.814372,8.213835
0.917594,0.066074,7.444081
0.362687,0.041700,6.662860
0.997619,0.642501,8.837739
0.283715,0.674769,10.447622
0.959457,0.796509,8.686932
0.653367,0.636509,6.739724
0.833748,0.677815,8.195295
0.128967,0.369306,8.133923
0.988675,0.681920,7.670681
0.117069,0.674362,9.525781
0.618756,0.574859,7.211133
0.943487,0.472039,6.765382
0.420660,0.770771,6.992124
0.587570,0.948771,9.456619
0.691087,0.832659,9.453237
0.271517,0.851405,9.140375
0.307567,0.484365,8.160106
0.645784,0.459329,9.383571
0.860385,0.378076,10.811766
0.936937,0.525745,8.196371
0.050219,0.715534,6.158161
0.901220,0.731149,7.156191
0.222635,0.438601,4.842281
0.783599,0.823462,7.344051
0.526097,0.115503,4.513526
0.106382,0.544305,10.432194
0.455865,0.617509,7.966932
0.396682,0.900975,8.222453
0.090723,0.765689,5.650630
0.664124,0.037786,8.587473
0.780794,0.802233,9.835655
0.091769,0.813973,6.805144
0.411637,0.368477,8.448958
0.500196,0.474241,7.490479
0.524285,0.605808,8.015100
0.089337,0.542885,9.625740
0.186029,0.020489,7.318312
0.818413,0.163011,7.202233
0.442525,0.934050,8.998001
0.023169,0.475839,6.969228
0.791142,0.705579,11.383590
0.740577,0.687756,8.065942
0.966916,0.645491,11.614124
0.248555,0.074825,7.658869
0.849670,0.803047,9.611708
0.483709,0.604680,8.896378
0.476902,0.646825,9.759614
0.935026,0.295275,8.827017
0.441467,0.366425,7.026135
0.148916,0.752166,10.811500
0.137825,0.279557,5.003393
0.659206,0.300850,7.975421
